# setPoint, prevCurrent, Current
0.000,0.000,0.723
6.800,0.723,0.769
13.600,0.769,0.935
20.400,0.935,1.165
27.200,1.165,1.523
34.000,1.523,1.868
40.800,1.868,2.367
47.600,2.367,2.879
54.400,2.879,3.618
62.100,3.618,4.209
69.900,4.209,5.015
77.700,5.015,5.746
85.400,5.746,6.596
92.200,6.596,7.167
99.400,7.167,7.984
100.000,7.984,7.979
99.400,7.979,8.020
92.200,8.020,7.466
85.400,7.466,7.002
77.700,7.002,6.281
69.900,6.281,5.515
62.100,5.515,4.788
54.400,4.788,4.078
47.600,4.078,3.449
40.800,3.449,2.795
34.000,2.795,2.347
27.200,2.347,1.784
20.400,1.784,1.317
13.600,1.317,1.054
6.800,1.054,0.693
0.000,0.693,0.624
